Sample,N,I,S,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.025,9941,249,9611,8707,867,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9254,7593,1499,153,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,8901,6564,2025,275,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8557,5727,2297,459,68,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8153,4957,2464,624,93,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,7784,4329,2491,801,139,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,6207,2337,2343,1051,356,95,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9816,9418,390,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9600,8678,873,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9256,7579,1526,142,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,8913,6608,1968,310,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8566,5786,2204,505,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8192,5026,2442,601,108,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,7838,4409,2520,732,152,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,6150,2508,2189,1037,324,73,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9821,9439,377,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9633,8675,914,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9305,7576,1544,172,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,8962,6677,1935,314,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8603,5886,2206,428,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8221,5023,2510,577,97,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,7862,4361,2592,741,145,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,6298,2406,2300,1157,333,84,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9829,9432,389,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9661,8724,891,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9357,7629,1577,139,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,9059,6725,2019,286,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8771,5887,2382,436,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8477,5137,2607,614,108,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,8170,4568,2647,783,145,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
