N,ave_k,sample,susceptible neighbours,S at time of sample,num 1s,num 2s,num 3s,num 4s,num 5 or more
9926.0,4.9732016925246825,0.075,2275.0,9070.0,1929.0,317.0,29.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2783.0,8770.0,2256.0,463.0,56.0,8.0,0.0
9926.0,4.9732016925246825,0.125,3264.0,8479.0,2517.0,637.0,97.0,13.0,0.0
9926.0,4.9732016925246825,0.15,3590.0,8189.0,2631.0,801.0,133.0,24.0,1.0
9926.0,4.9732016925246825,0.01,374.0,9814.0,360.0,14.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,897.0,9639.0,860.0,35.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1635.0,9339.0,1477.0,144.0,14.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2296.0,9027.0,1950.0,310.0,33.0,3.0,0.0
9926.0,4.9732016925246825,0.1,2853.0,8726.0,2327.0,463.0,59.0,4.0,0.0
9926.0,4.9732016925246825,0.125,3268.0,8441.0,2546.0,612.0,96.0,14.0,0.0
9926.0,4.9732016925246825,0.15,3606.0,8137.0,2641.0,794.0,149.0,20.0,2.0
9926.0,4.9732016925246825,0.01,393.0,9791.0,387.0,6.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,942.0,9593.0,894.0,45.0,3.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1676.0,9251.0,1506.0,161.0,8.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2348.0,8864.0,2026.0,288.0,32.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2823.0,8531.0,2305.0,452.0,62.0,4.0,0.0
9926.0,4.9732016925246825,0.125,3115.0,8149.0,2398.0,622.0,82.0,12.0,1.0
9926.0,4.9732016925246825,0.15,3397.0,7779.0,2519.0,716.0,142.0,18.0,2.0
9926.0,4.9732016925246825,0.01,368.0,9789.0,360.0,7.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.025,933.0,9558.0,894.0,38.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1710.0,9188.0,1558.0,146.0,6.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2229.0,8771.0,1918.0,281.0,25.0,5.0,0.0
9926.0,4.9732016925246825,0.1,2678.0,8384.0,2184.0,429.0,56.0,9.0,0.0
9926.0,4.9732016925246825,0.125,3077.0,8010.0,2429.0,532.0,97.0,19.0,0.0
9926.0,4.9732016925246825,0.15,3297.0,7599.0,2478.0,679.0,116.0,22.0,2.0
9926.0,4.9732016925246825,0.01,341.0,9805.0,336.0,5.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,861.0,9637.0,820.0,39.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1621.0,9353.0,1439.0,173.0,9.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2220.0,9051.0,1895.0,298.0,27.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2762.0,8746.0,2268.0,436.0,52.0,6.0,0.0
9926.0,4.9732016925246825,0.125,3182.0,8439.0,2491.0,583.0,98.0,10.0,0.0
9926.0,4.9732016925246825,0.15,3531.0,8145.0,2610.0,754.0,147.0,18.0,2.0
9926.0,4.9732016925246825,0.01,368.0,9792.0,364.0,4.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,894.0,9601.0,851.0,42.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1634.0,9265.0,1475.0,148.0,11.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2271.0,8953.0,1974.0,265.0,30.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2799.0,8626.0,2320.0,426.0,49.0,4.0,0.0
9926.0,4.9732016925246825,0.125,3176.0,8309.0,2495.0,584.0,85.0,11.0,1.0
9926.0,4.9732016925246825,0.15,3515.0,7981.0,2633.0,726.0,138.0,17.0,1.0
9926.0,4.9732016925246825,0.01,398.0,9803.0,391.0,7.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,935.0,9605.0,890.0,44.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1653.0,9268.0,1502.0,139.0,12.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2292.0,8934.0,1991.0,275.0,26.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2787.0,8589.0,2300.0,436.0,47.0,4.0,0.0
9926.0,4.9732016925246825,0.125,3167.0,8255.0,2470.0,602.0,82.0,11.0,2.0
9926.0,4.9732016925246825,0.15,3491.0,7914.0,2611.0,712.0,156.0,7.0,5.0
9926.0,4.9732016925246825,0.01,381.0,9788.0,372.0,9.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,878.0,9590.0,832.0,45.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1585.0,9246.0,1438.0,133.0,14.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2202.0,8876.0,1874.0,300.0,23.0,5.0,0.0
9926.0,4.9732016925246825,0.1,2718.0,8511.0,2209.0,445.0,58.0,5.0,1.0
9926.0,4.9732016925246825,0.125,3133.0,8145.0,2405.0,599.0,112.0,16.0,1.0
9926.0,4.9732016925246825,0.15,3386.0,7782.0,2472.0,741.0,143.0,29.0,1.0
9926.0,4.9732016925246825,0.01,375.0,9789.0,367.0,8.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,891.0,9566.0,848.0,41.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1639.0,9198.0,1465.0,159.0,15.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2267.0,8800.0,1945.0,285.0,35.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2678.0,8399.0,2190.0,421.0,65.0,2.0,0.0
9926.0,4.9732016925246825,0.125,2994.0,8013.0,2319.0,569.0,89.0,16.0,1.0
9926.0,4.9732016925246825,0.15,3249.0,7601.0,2390.0,703.0,136.0,19.0,1.0
9926.0,4.9732016925246825,0.01,400.0,9792.0,396.0,4.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,891.0,9569.0,860.0,30.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1610.0,9211.0,1464.0,135.0,11.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2238.0,8886.0,1952.0,264.0,22.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2760.0,8532.0,2286.0,418.0,50.0,3.0,3.0
9926.0,4.9732016925246825,0.125,3072.0,8168.0,2407.0,559.0,86.0,15.0,5.0
9926.0,4.9732016925246825,0.15,3338.0,7774.0,2497.0,691.0,121.0,23.0,6.0
9926.0,4.9732016925246825,0.01,367.0,9813.0,358.0,9.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,896.0,9629.0,847.0,49.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1668.0,9340.0,1508.0,143.0,15.0,2.0,0.0
9926.0,4.9732016925246825,0.075,2337.0,9033.0,2024.0,286.0,25.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2883.0,8728.0,2356.0,455.0,69.0,3.0,0.0
9926.0,4.9732016925246825,0.125,3281.0,8427.0,2585.0,580.0,107.0,8.0,1.0
9926.0,4.9732016925246825,0.15,3645.0,8117.0,2735.0,758.0,135.0,17.0,0.0
9926.0,4.9732016925246825,0.01,399.0,9815.0,389.0,10.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,950.0,9652.0,910.0,38.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1704.0,9365.0,1553.0,143.0,8.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2330.0,9066.0,2025.0,280.0,23.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2843.0,8763.0,2345.0,457.0,38.0,3.0,0.0
9926.0,4.9732016925246825,0.125,3287.0,8461.0,2576.0,607.0,95.0,9.0,0.0
9926.0,4.9732016925246825,0.15,3577.0,8158.0,2662.0,731.0,163.0,17.0,4.0
9926.0,4.9732016925246825,0.01,387.0,9793.0,379.0,8.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,861.0,9562.0,829.0,31.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1627.0,9186.0,1484.0,138.0,5.0,0.0,0.0
